supplement_id,name,vendor_code,class,external_ref_id,active,description,vendor,dosage_form,strength,unit,additional_object,additional_id,additional_nicknames,additional_type,additional_charge,additional_plan_ordering_instructions,additional_addedby,additional_dateupdated,additional_url_supplement_details,additional_inactive,additional_created
220,SP Betafood,,mdhq-default,,True,,,,,,supplement,220,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/220,False,2017-03-29 22:22:22
221,SP Betaine HCl,,mdhq-default,,True,,,,,,supplement,221,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/221,False,2017-03-29 22:22:22
222,SP Biost,,mdhq-default,,True,,,,,,supplement,222,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/222,False,2017-03-29 22:22:22
223,SP Boswelia Complex,,mdhq-default,,True,,,,,,supplement,223,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/223,False,2017-03-29 22:22:22
224,SP Burdock Complex,,mdhq-default,,True,,,,,,supplement,224,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/224,False,2017-03-29 22:22:22
225,SP Calcium Lactate Lg,,mdhq-default,,True,,,,,,supplement,225,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/225,False,2017-03-29 22:22:22
226,SP Calcium Lactate Sm,,mdhq-default,,True,,,,,,supplement,226,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/226,False,2017-03-29 22:22:22
227,SP Cardiotrophin PMG,,mdhq-default,,True,,,,,,supplement,227,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/227,False,2017-03-29 22:22:22
228,SP Catalyn,,mdhq-default,,True,,,,,,supplement,228,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/228,False,2017-03-29 22:22:22
229,SP Catalyn Chewable,,mdhq-default,,True,,,,,,supplement,229,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/229,False,2017-03-29 22:22:22
230,SP Cataplex A-C-P,,mdhq-default,,True,,,,,,supplement,230,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/230,False,2017-03-29 22:22:22
231,SP Cataplex B,,mdhq-default,,True,,,,,,supplement,231,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/231,False,2017-03-29 22:22:22
232,SP Cataplex C,,mdhq-default,,True,,,,,,supplement,232,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/232,False,2017-03-29 22:22:22
233,SP Cataplex F,,mdhq-default,,True,,,,,,supplement,233,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/233,False,2017-03-29 22:22:22
234,SP Chaste Tree,,mdhq-default,,True,,,,,,supplement,234,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/234,False,2017-03-29 22:22:22
235,SP Chezyn,,mdhq-default,,True,,,,,,supplement,235,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/235,False,2017-03-29 22:22:22
236,SP Chlorophyll,,mdhq-default,,True,,,,,,supplement,236,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/236,False,2017-03-29 22:22:22
237,SP Cholacol,,mdhq-default,,True,,,,,,supplement,237,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/237,False,2017-03-29 22:22:22
238,SP Choline,,mdhq-default,,True,,,,,,supplement,238,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/238,False,2017-03-29 22:22:22
239,SP Cleanse,,mdhq-default,,True,,,,,,supplement,239,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/239,False,2017-03-29 22:22:22
240,SP Collagen C,,mdhq-default,,True,,,,,,supplement,240,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/240,False,2017-03-29 22:22:22
241,SP Congaplex,,mdhq-default,,True,,,,,,supplement,241,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/241,False,2017-03-29 22:22:22
242,SP Cranberry,,mdhq-default,,True,,,,,,supplement,242,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/242,False,2017-03-29 22:22:22
243,SP Cu Liver Chelate,,mdhq-default,,True,,,,,,supplement,243,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/243,False,2017-03-29 22:22:22
244,SP Cyrofood Powder 10 oz,,mdhq-default,,True,,,,,,supplement,244,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/244,False,2017-03-29 22:22:22
245,SP DermaCo,,mdhq-default,,True,,,,,,supplement,245,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/245,False,2017-03-29 22:22:22
246,SP Dermatrophin PMG,,mdhq-default,,True,,,,,,supplement,246,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/246,False,2017-03-29 22:22:22
247,SP Di-Gest,,mdhq-default,,True,,,,,,supplement,247,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/247,False,2017-03-29 22:22:22
248,SP Diaplex,,mdhq-default,,True,,,,,,supplement,248,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/248,False,2017-03-29 22:22:22
249,SP Dong Quai,,mdhq-default,,True,,,,,,supplement,249,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/249,False,2017-03-29 22:22:22
250,SP Drenamin,,mdhq-default,,True,,,,,,supplement,250,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/250,False,2017-03-29 22:22:22
251,SP Drenamin Large,,mdhq-default,,True,,,,,,supplement,251,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/251,False,2017-03-29 22:22:22
252,SP Echinacea Premium,,mdhq-default,,True,,,,,,supplement,252,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/252,False,2017-03-29 22:22:22
253,SP Epimune Complex,,mdhq-default,,True,,,,,,supplement,253,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/253,False,2017-03-29 22:22:22
254,SP For-Til B12,,mdhq-default,,True,,,,,,supplement,254,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/254,False,2017-03-29 22:22:22
255,SP Gastrex,,mdhq-default,,True,,,,,,supplement,255,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/255,False,2017-03-29 22:22:22
256,SP GastroFiber,,mdhq-default,,True,,,,,,supplement,256,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/256,False,2017-03-29 22:22:22
257,SP GI Fiber,,mdhq-default,,True,,,,,,supplement,257,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/257,False,2017-03-29 22:22:22
258,SP Golden Seal 500mg,,mdhq-default,,True,,,,,,supplement,258,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/258,False,2017-03-29 22:22:22
259,SP Gotu Kola Complex,,mdhq-default,,True,,,,,,supplement,259,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/259,False,2017-03-29 22:22:22
260,SP Green Food,,mdhq-default,,True,,,,,,supplement,260,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/260,False,2017-03-29 22:22:22
261,SP Gut Flora Complex,,mdhq-default,,True,,,,,,supplement,261,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/261,False,2017-03-29 22:22:22
262,SP Gymnema,,mdhq-default,,True,,,,,,supplement,262,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/262,False,2017-03-29 22:22:22
263,SP Herbal Throat Spray,,mdhq-default,,True,,,,,,supplement,263,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/263,False,2017-03-29 22:22:22
264,SP HiPep,,mdhq-default,,True,,,,,,supplement,264,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/264,False,2017-03-29 22:22:22
265,SP Hypothalamex,,mdhq-default,,True,,,,,,supplement,265,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/265,False,2017-03-29 22:22:22
266,SP Hypothalamus PMG,,mdhq-default,,True,,,,,,supplement,266,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/266,False,2017-03-29 22:22:22
267,SP Immuplex,,mdhq-default,,True,,,,,,supplement,267,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/267,False,2017-03-29 22:22:22
268,SP Inositol,,mdhq-default,,True,,,,,,supplement,268,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/268,False,2017-03-29 22:22:22
269,SP Iodomere,,mdhq-default,,True,,,,,,supplement,269,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/269,False,2017-03-29 22:22:22
270,SP Lact-Enz,,mdhq-default,,True,,,,,,supplement,270,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/270,False,2017-03-29 22:22:22
271,SP Lactic Acid Yeast,,mdhq-default,,True,,,,,,supplement,271,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/271,False,2017-03-29 22:22:22
272,SP Ligaplex (Lg),,mdhq-default,,True,,,,,,supplement,272,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/272,False,2017-03-29 22:22:22
273,SP Ligaplex 1,,mdhq-default,,True,,,,,,supplement,273,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/273,False,2017-03-29 22:22:22
274,SP Livaplex,,mdhq-default,,True,,,,,,supplement,274,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/274,False,2017-03-29 22:22:22
275,SP Mammary,,mdhq-default,,True,,,,,,supplement,275,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/275,False,2017-03-29 22:22:22
276,SP Minchex,,mdhq-default,,True,,,,,,supplement,276,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/276,False,2017-03-29 22:22:22
277,SP Multizyme,,mdhq-default,,True,,,,,,supplement,277,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/277,False,2017-03-29 22:22:22
278,SP Multizyme Large,,mdhq-default,,True,,,,,,supplement,278,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/278,False,2017-03-29 22:22:22
279,SP Neuroplex,,mdhq-default,,True,,,,,,supplement,279,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/279,False,2017-03-29 22:22:22
280,SP Neurotrophin PMG,,mdhq-default,,True,,,,,,supplement,280,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/280,False,2017-03-29 22:22:22
281,SP Okra Pepsin E3,,mdhq-default,,True,,,,,,supplement,281,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/281,False,2017-03-29 22:22:22
282,SP OPC Synergy,,mdhq-default,,True,,,,,,supplement,282,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/282,False,2017-03-29 22:22:22
283,SP Organically Bound Minerals,,mdhq-default,,True,,,,,,supplement,283,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/283,False,2017-03-29 22:22:22
284,SP Ostrophin PMG,,mdhq-default,,True,,,,,,supplement,284,,Supplement,0,,1,,https://rthmehr.md-hq.com/api/v1/supplements/284,False,2017-03-29 22:22:22
